Rank,Drug group,Route,Dosage form,Therapeutic class,Generic,Predicted probability,Prediction month
1,Gemcitabine hydrochloride,Intravenous,"Injection, Powder, Lyophilized, For Solution",Nucleoside Metabolic Inhibitor,Yes,0.0325,2025-08
2,ibandronate sodium,Intravenous,"Injection, Solution",Bisphosphonate,Yes,0.0294,2025-08
3,epirubicin hydrochloride,Intravenous,"Injection, Solution",Anthracycline Topoisomerase Inhibitor,Yes,0.0275,2025-08
4,Micafungin sodium,Intravenous,"Injection, Powder, Lyophilized, For Solution",Echinocandin Antifungal,Yes,0.0260,2025-08
5,nelarabine,Intravenous,Injection,Nucleoside Metabolic Inhibitor,Yes,0.0242,2025-08
6,penicillin g procaine,Intramuscular,"Injection, Suspension",Penicillin-class Antibacterial,Yes,0.0229,2025-08
7,Lactulose,"Oral, Rectal",Solution,Osmotic Laxative,Yes,0.0223,2025-08
8,SUFENTANIL CITRATE,"Epidural, Intravenous","Injection, Solution",Opioid Agonist,Yes,0.0213,2025-08
9,Ganirelix Acetate,Subcutaneous,"Injection, Solution",Gonadotropin Releasing Hormone Receptor Antagonist,Yes,0.0205,2025-08
10,cyclophosphamide,Intravenous,"Injection, Solution",Alkylating Drug,No,0.0204,2025-08
11,Progesterone,Intramuscular,"Injection, Solution",Progesterone,Yes,0.0198,2025-08
12,Labetalol Hydrochloride,Intravenous,"Injection, Solution",beta-Adrenergic Blocker,Yes,0.0191,2025-08
13,AMPICILLIN,"Intramuscular, Intravenous","Injection, Powder, For Solution",Penicillin-class Antibacterial,Yes,0.0187,2025-08
14,Methadone Hydrochloride,Oral,Concentrate,Opioid Agonist,Yes,0.0187,2025-08
15,procainamide hydrochloride,"Intramuscular, Intravenous","Injection, Solution",Antiarrhythmic,Yes,0.0185,2025-08
16,Epirubicin Hydrochloride,Intravenous,Injection,Anthracycline Topoisomerase Inhibitor,Yes,0.0183,2025-08
17,foscarnet sodium,Intravenous,"Injection, Solution",Pyrophosphate Analog DNA Polymerase Inhibitor,Yes,0.0180,2025-08
18,Sufentanil Citrate,"Epidural, Intravenous",Injection,Opioid Agonist,Yes,0.0179,2025-08
19,lincomycin hydrochloride,"Intramuscular, Intravenous, Subconjunctival","Injection, Solution",Unclassified,Yes,0.0178,2025-08
20,MORPHINE SULFATE,Oral,"Capsule, Extended Release",Opioid Agonist,Yes,0.0178,2025-08
